i,time,id,text
20096,Fri Sep 27 13:02:00 2024,28548,"💥Одной из первых учениц Центра развития инженерных компетенций «Квант» стала Дарина. 
 
Уже в возрасте 5 лет девочка знает, кем хочет стать и уверена, что в будущей профессии ей помогут технологии!"
20097,Fri Sep 27 12:36:48 2024,28547,"Интервью с Мариной Мазуриной, руководителем [club42508064|лицея №1511] и Центра развития инженерных компетенций ""Квант"""
20098,Fri Sep 27 11:57:27 2024,28546,"📷Сегодня прошло открытие Центра развития инженерных компетенций «Квант», созданного Национальным ядерным университетом «МИФИ» при поддержке Госкорпорации «Росатом». 
 
Что же было на открытии ? 
 
🙌Робототехнический футбол, шахматы с настоящим гроссмейстером Георгием Нагибиным, выставка картин от студентов Центра и многое другое. 
 
Учиться в Центре будут дети от 4 до 7 лет. Уже сегодня дошкольники испытали новые технологии и попробовали запустить роботов.

Все яркие фото события вы найдете по ссылке ниже 👇
https://vk.com/album-69589815_304289156"
20099,Fri Sep 27 09:50:51 2024,28540,"🚀🔝 СЕГОДНЯ в НИЯУ МИФИ нас ждет уникальное мероприятие! 🔥🌟

🎯 В рамках совместной инициативы с Всероссийской олимпиадой студентов [club154631231|«Я — профессионал»] и [club25236132|Госкорпорацией ""Росатом""] проходит Карьерный тест-драйв!

Это уникальное мероприятие направлено на развитие ключевых профессиональных навыков студентов через интерактивные активности. 
💼🚀 Карьерный тест-драйв поможет вам развить надрофессиональные навыки, необходимые для успешного карьерного роста!

Не упустите шанс приобрести ценный опыт и подготовиться к успешной будущей профессиональной карьере! 💪🌟

[club208834371|Центр компетенций | НИЯУ МИФИ] 

#НИЯУМИФИ #ЯПрофессионал #КарьерныйТестДрайв #ПрофессиональныеНавыки #РазвитиеКарьеры"
30000,Fri Sep 27 09:02:00 2024,28532,"Что за ребята в зеленых куртках?  
 
🤓Уже третий день в МИФИ проходит Ярмарка Студенческих отрядов, где каждый может познакомиться с молодежным движением и узнать подробнее о восьми студенческих отрядах университета.  
 
👏Штаб Студенческих отрядов – это возможность обрести единомышленников, устроиться на работу мечты и поучаствовать в студенческих активностях.  
 
Найти тематические площадки можно сегодня с 12:00 до 14:30 в А, Б и Г корпусах."
30001,Thu Sep 26 16:58:42 2024,28528,"Конкурс «Человек года МИФИ» все ближе 
 
""Ценности МИФИста – это уважение к работе, к труду, к коллегам, студентам и себе, это свобода творчества и мышления. Главная ценность – это уникальная команда МИФИ, объединенная общими целями и идеями"", – так считает Юлия Зарянская, участник «Человек года МИФИ» 2023. 
 
Если вы тоже хотите продемонстрировать свои таланты и внести вклад в развитие университета и общества в целом, то приглашаем принять участие в конкурсе «Человек года МИФИ 2024». 
 
Еще больше вдохновляющих слов и достижений вы найдете в наших видео с участниками прошлого года."
30002,Thu Sep 26 16:12:43 2024,28526,"НИЯУ МИФИ впервые вошел в топ-5 лучших университетов мира в рейтинге RUR nuclear education and technology 2024 
 
Сегодня 26 сентября 2024 г. были опубликованы результаты исследований международного рейтингового агентства Round University Rankings (RUR) по предметным областям. RUR является одним из ведущих международных рейтингов университетов и публикует их с 2010 года. НИЯУ МИФИ впервые занял 5 место среди лучших университетов мира по ядерному образованию и технологиям."
30003,Thu Sep 26 15:00:37 2024,28525,"Исполняющий обязанности директора [club153662159|ИАТЭ НИЯУ МИФИ] Алексей Панов награжден юбилейной медалью «300 лет Российской Академии Наук»

Поздравляем коллегу🎁"
30004,Thu Sep 26 14:35:58 2024,28524,"🔥Заместитель директора Центра экстремальной прикладной электроники института нанотехнологий в электронике, спинтронике и фотонике Александр Чумаков получил медаль «За заслуги в освоении атомной энергии» из рук Валерия Фалькова.

🎉Поздравляем коллегу и желаем дальнейших профессиональных достижений!"
30005,Thu Sep 26 12:49:50 2024,28523,"💥Продолжаем рубрику “Задай вопрос ученому” 
 
На прошлой неделе нашим гостем стал декан факультета бизнес-информатики и управления комплексными системами МИФИ Александр Путилов. В университете он ведет курс “Технологическая история атомной отрасли”. 
 
💬Александр Путилов рассмотрел ваши вопросы и ответил на самые интересные: 
 
В чем заключаются различия в системах безопасности между США и СССР? 
Что вас вдохновляет быть частью МИФИ?"
30006,Thu Sep 26 12:36:20 2024,28521,"🙌Команда МИФИ на чемпионате BRICS 
 
Сборная МИФИ принимает участие в финале Международного чемпионата по перспективным технологиям и навыкам BRICS Future Skills & Tech Challenge. 
 
💛МИФИсты выступают не только в составе сборной команды, но и в качестве экспертов с особыми полномочиями. Среди них доцент ИАТЭ Павел Белоусов и инженер отдела компетенций WorldSkills МИФИ Юлия Шишканова. Подробную информацию читайте на сайте по ссылке ниже. 
 
Желаем успехов нашей команде!"
30007,Wed Sep 25 18:20:00 2024,28519,"💃Вот так проходит открытие выставки «Русский север. Культурный десант»
 
Ребята из отряда культурного десанта «Резонанс» вдохновились природой и гастрономической культурой Карелии, а своими впечатлениями они поделились на выставке. 

🥮Кстати, здесь угощают настоящим травяным чаем и карельскими калитками (открытыми пирожками) с картошкой и кашей, которые эксклюзивно приготовили для МИФИ."
30008,Wed Sep 25 16:20:00 2024,28517,"Дайджест конкурсов и грантов

✅Стартовал приём заявок национальной премии за вклад в развитие технологий искусственного интеллекта «Лидеры ИИ».
⏰ Прием заявок до 11 октября
Подробнее https://ai-awards.ru/

✅Конкурс «Наставничество» от президентской платформы «Россия — страна возможностей»
⏰ до 25 октября
Подробнее https://nastavnik.rsv.ru/

✅Всероссийский конкурс «Твой ход в науку»
⏰до 30 сентября 
Подробнее https://vk.com/tvoyhodonline"
30009,Wed Sep 25 14:01:00 2024,28515,"💥Диплом за лучший доклад: студентку МИФИ наградили на форуме ""Микроэлектроника 2024"" 
 
Студентка магистратуры МИФИ Татьяна Неволина награждена дипломом за лучший доклад в секции ""Моделирование структур, технологических процессов и устройств микроэлектроники"". Татьяна выступала с темой ""Особенности моделирования HEMT-транзистора на основе гетероструктуры AlGaN/AlN/GaN с ультратонким барьером AlN"". 
 
🙌Кроме того, на форуме принимает участие делегация МИФИ во главе с ректором университета Владимиром Шевченко. 
 
Российский форум «Микроэлектроника» – ключевое информационное событие года в мире электронных технологий."
30010,Wed Sep 25 13:43:43 2024,28513,"Откройте для себя мир инженерных возможностей 🚀

12 октября для студентов и аспирантов выпускных курсов пройдет ВИКфест — инженерный фестиваль, посвященный знакомству с Всероссийским инженерным конкурсом, его этапами, партнёрами и преимуществами участия.

Мы подготовили насыщенную программу, в рамках которой вы сможете:
➖ Узнать подробнее о правилах участия в конкурсе
➖ Выбрать тематику дипломного проекта на стендовой сессии крупнейших индустриальных партнёров конкурса
➖ Пообщаться с финалистами и лауреатами прошлых лет в формате открытого интервью
➖ Принять участие в большой деловой игре и получить призы от ВИК

Ждём вас 12 октября в 14:00 по адресу: г. Москва, Малый Конюшковский пер., д. 2 (3 этаж).

✅ Успейте зарегистрироваться https://forms.yandex.ru/cloud/66ec0655f47e730b9e2ecbe0/ до 10 октября, количество мест ограничено!"
30011,Wed Sep 25 12:22:04 2024,28509,"Смотрите запись стрима с победителями второго цикла Технологического акселератора 
 
Недавно состоялся стрим с организаторами Акселератора МИФИ и командой «Датчики водорода». Этот проект стал победителем второго цикла и получил инвестиции в размере 10 000 000 руб. на развитие бизнеса. 
 
Сделали для вас подборку интересных цитат. 
 
- Как решиться участвовать в Акселераторе и преодолеть страх сделать ошибку? 
«Все успешные предприниматели и стартаперы когда-то ошибались. Важно не останавливаться, брать на себя ответственность и двигаться вперед. Опыт преодоления ошибок ценится инвестором и становится преимуществом команды». 
 
- На что обращают внимание трекеры при отборе заявок на участие в Акселераторе? 
«Важна «заряженность» своей идеей. Но также мы смотрим на наличие технической базы или классных компетенций. Еще один важный фактор – это понимание клиента и рынка. Очень хорошо, когда команда знает своего потребителя и его запрос». 
«В основе любой бизнес-модели должен быть счастливый клиент, который прыгает от радости, получив продукт». 
 
- Какая роль у трекера? 
«Акселератор дает структуру и понимание того, как пройти от идеи до окончательного продукта. Но очень многое участникам надо делать самостоятельно. И в этом как раз помогает трекер, который направляет команды, помогает им своим опытом и делится своими контактами». 
 
Полную запись беседы смотрите на YouTube. https://www.youtube.com/live/okpX788r60I 

Кстати, вы еще успеваете подать заявку на участие в третьем цикле Акселератора. Сделать это можно до конца дня 26 сентября, заполнив анкету по ссылке. https://accelerator.mephi.ru/form/zapolnite-anketu"
30012,Wed Sep 25 10:00:00 2024,28505,
30013,Tue Sep 24 18:26:00 2024,28499,"❤Как часто мы звоним папе, не потому что нужно, а просто так? Просто, чтобы сказать спасибо… 
 
Да, иногда в повседневной суете мы забываем про самых важных и дорогих нам людей. Совсем скоро состоится праздник – День отца, и это отличный повод выразить любовь близкому человеку. 
 
💌С 30 сентября по 4 октября с 11.50 до 14.30 в студенческом офисе каждый желающий сможет принять участие в акции ""Письмо папе"" и подписать уникальную открытку. Давайте напишем приятные слова нашему первому герою, который был рядом, когда это было нужно. 
 
Доставку до адресата мы возьмем на себя, а за вами остается самое малое – любовь."
30014,Tue Sep 24 17:24:29 2024,28498,"«Человек года МИФИ 2024» - до старта меньше двух недель

🗓С 8 октября начинается прием заявок на участие в конкурсе «Человек года МИФИ».

В этом году нас ждут:

✅новая специальная номинация
✅возможность номинировать на конкурс сотрудника любого подразделения

Не упустите шанс поделиться успехами коллег, потому что главное в любом деле - это люди! 

Еще больше вдохновения в нашем видео,где МИФИсты рассказывают о том, что их объединяет в легендарном ядерном университете страны."
30015,Tue Sep 24 14:37:22 2024,28497,
30016,Tue Sep 24 14:01:00 2024,28495,"Молодые ученые МИФИ на симпозиуме в Ираклионе 
 
🏝На острове Крит в городе Ираклион прошла 22-я Международная конференция по численному анализу и прикладной математике (ICNAAM-2024). Традиционно в ней приняли участие ученые из МИФИ с кафедр прикладной математики, высшей математики и других. 
 
Особенностью конференции является то, что несколько направлений прикладной математики и математического моделирования представлены в виде тематических симпозиумов. Один из них под названием «Методы нелинейной математической физики» возглавляет профессор МИФИ Николай Кудряшов. 
 
📚Кроме того, молодые ученые МИФИ, среди которых Александр Отченашенко, Даниил Нифонтов, София Лаврова, Александр Кутуков представили на симпозиуме четыре доклада на различные темы. 
 
Желаем МИФИстам дальнейших успехов и новых открытий!"
30017,Tue Sep 24 12:50:00 2024,28494,"❄Русский север в МИФИ 
 
Что это значит? 
 
🌞25 сентября состоится открытие выставки «Русский север. Культурной десант». На нее вдохновила МИФИстов поездка в Карелию, где ребята из Отряда культурного десанта «Резонанс» трудились в Муромском Успенском монастыре на берегу Онежского озера. 
 
В программе: 
 
☁История русского деревянного зодчества с выставкой «Сохранение памятников деревянного зодчества Русского Севера», которая представлена эксклюзивно АНО Исследование и реставрация памятников деревянного зодчество «Традиция» 
☁Русские народные песни в исполнении Товарищества «Вечерняя Москва», а также традиционные игры 
☁Сладкие угощения 
 
Ждем всех желающих в читальном зале библиотеки 25 сентября в 17:15"
30018,Tue Sep 24 11:24:23 2024,28491,"🚀Продолжается набор в Сообщество студентов Росатома 
 
Студенты Сообщества смогут посетить производственные площадки атомной отрасли, участвовать в научно-исследовательских проектах, получить практический опыт в реальных рабочих условиях, стать частью ведущих мероприятий в атомной отрасли и многое другое. 
 
🤝Участниками Сообщества уже являются студенты из ведущих вузов страны, сделавшие осознанный выбор в пользу успешной карьеры. 
 
Подать заявку можно по ссылке https://docs.google.com/forms/d/e/1FAIpQLSfDRYP7fp8gOEAIJaLu0LbUShywSOj7cGwaGgw3_XhcslZ-8A/viewform"
30019,Tue Sep 24 10:04:56 2024,28489,"🅰🅱 Внимание, студенты и не только! Сегодня в студенческом офисе МИФИ проходит [club68344715|День Донора!] 🩸💉 А это значит, что у вас есть уникальная возможность сделать доброе дело и спасти жизнь другому человеку.

Рады сообщить, что открыта регистрация на сдачу крови для внешних доноров! 🌟 Вы можете принять участие в акции в студенческом офисе по следующим датам:
🧡 24 сентября, вторник - с 9:00 до 13:00;
🧡 8 октября, вторник - с 10:00 до 12:00.

📁 Для тех, кто не имеет доступа на территорию МИФИ, регистрация доступна по ссылке https://it.mephi.ru/webform/1993. Не забудьте рассказать об этой возможности своим друзьям и близким - вместе мы сможем сделать мир лучше! 🤝

#ДеньДонора #СдайКровь #МИФИ #ДоброеДело #РегистрацияКровидляДоноров #СпасиЖизнь 🩸💖"
30020,Mon Sep 23 18:06:19 2024,28488,"🔥Прием заявок в технологический акселератор продлен до 26 сентября

У нас есть отличная новость для тех, кто не успел подать заявку в третий цикл Акселератора МИФИ. Теперь вы можете сделать это до 26 сентября включительно.

Необходимо заполнить форму 👉 https://accelerator.mephi.ru/form/zapolnite-anketu на сайте Акселератора и дождаться обратной связи. Авторов лучших проектов мы пригласим на бесплатную трехмесячную программу обучения, по итогам которой у вас будет шанс получить инвестиции на сумму до 5 млн рублей для развития своего стартапа.

Мы принимаем заявки от студентов, аспирантов, преподавателей и выпускников всех филиалов МИФИ в городах России.

18 сентября четыре проекта-победителя второго цикла получили инвестиции на общую сумму 22 млн рублей. С учетом 28 млн рублей, выделенных на проекты первого цикла, общие вложения госкорпорации в университетские стартапы с начала 2024 года составили 50 млн рублей.

Узнать о возможностях программы 👉 https://www.youtube.com/live/okpX788r60I 
Демо-день второго цикла 👉 https://www.youtube.com/live/I5CU1z2jaUI 

Начните свой технологический бизнес НИЯУ МИФИ и Росатомом прямо сейчас!

Подробнее https://mephi.ru/press/news/23414"
30021,Mon Sep 23 13:33:00 2024,28487,"Мы готовы действовать, а ты?

МИФИ - легендарный университет с богатой историей, масштабными научными достижениями и большими планами на будущее.

Об этом должно знать как можно больше людей!

Кто как ни амбассадор способен донести миру наши идеи и ценности, сделать что-то важное и значимое?

Мы ждем именно тебя, если ты:
📍Активный, неравнодушный, открытый миру и людям человек
📍Лидер мнений в своем окружении
📍Хочешь делиться знаниями об университете
📍Регулярно участвуешь в общественных мероприятиях как внутри, так и вне стен МИФИ: спортивных, культурных, добровольческих, волонтерских, патриотических и прочих

Подай заявку до 30 сентября 👉https://ambassador.mephi.ru/projects/ - стань частью команды единомышленников, которые поддерживают родной университет, помогают ему двигаться вперед и становиться еще лучше.

Время действовать!"
30022,Mon Sep 23 11:31:45 2024,28485,"🔥Несмотря на похолодание, в это воскресенье в парке “Коломенское” было особенно жарко 
 
Несколько сотен гостей посетили благотворительный фестиваль от “Сердца к сердцу” и стали частью праздника доброты и творчества. Давайте вспомним, как это было 👇🏼

https://vk.com/album-58421306_305842584"
30023,Mon Sep 23 09:57:05 2024,28484,"Открыта регистрация в Школу будущего молодого учёного 
 
🤩Приглашаем студентов на трехдневный интенсив, посвященный научно-исследовательской деятельности. 
 
На мероприятии вы узнаете: 
 
- Как писать тезисы и публиковаться 
- Основы научной этики 
- Введение в наукометрию и существующие метрики 
- Программу поддержки для молодых ученых 
 
📅 27-29 сентября, Точка кипения МИФИ 
📝 Регистрация до 24 сентября по ссылке ниже. 
Для участия требуется мотивационное эссе."
30024,Sun Sep 22 18:14:11 2024,28483,"😇День физики подошел к концу, но это не повод для грусти

Предлагаем продлить праздник и вспомнить, как это было! (P.s. Конечно, это было круто)

📸Наши фотографы сообщили, что поймали все яркие моменты. Ищите себя на фото в альбоме по ссылке ниже.

https://vk.com/album-69589815_304223225"
30025,Sun Sep 22 16:06:42 2024,28482,"Солнечный фестиваль ""От сердца к сердцу"": Доброта и творчество в Коломенском!

☀️  Утро воскресенья встретило нас ярким солнцем, а в парке «Коломенское» царила атмосфера настоящего праздника! 13-й фестиваль ""От сердца к сердцу"" подарил гостям незабываемые эмоции и заряд позитива. 

✨ Девиз фестиваля ""Творчество в помощь детям. Без цен и ценников"" — это не просто слова, а воплощение идеи: все площадки организованы студентами, а участие в них абсолютно бесплатно. 

🌈  На входе в парк гостей встречают студенты МИФИ, дарящие каждому сердечки с добрыми пожеланиями.  

⚔️  В парке любой желающий может попробовать себя в роли лучника, попрактиковаться в фехтовании или же сразиться в интеллектуальной дуэли на огромной шахматной доске с опытными студентами-шахматистами.

🎨  Кроме того, в программе: мастер-классы по мыловарению, эко-квиз, захватывающие научные опыты и множество других развлечений для детей и взрослых. 

💖  Фестиваль ""От сердца к сердцу"" — это настоящий праздник доброты, творчества и помощи нуждающимся детям. 
Помочь детям-сиротам можно по ссылке ниже"
30026,Sun Sep 22 14:41:07 2024,28481,"💃Ещё больше активностей на втором этаже главного корпуса МИФИ! 

Любой желающий может попробовать разгадать  кроссворд и получить за это приз, а также в программе: квиз, физический диктант, химические опыты, робототехническая площадка и многое другое. 

P.s. Дорогу осилит идущий"
30027,Sun Sep 22 11:55:31 2024,28479,"🔥День физики в МИФИ! 

Сегодня любой желающий может стать частью масштабного события в МИФИ! Уже сейчас собираются первые группы на экскурсии по автоматике, прикладной математике и ядерной физике. 

Приходи на праздник и выбирай свой путь в науку!"
30028,Sun Sep 22 10:25:50 2024,28478,Все начинается с МИФИ
30029,Sat Sep 21 17:43:41 2024,28477,"❤️Ректор МИФИ приглашает вас на фестиваль от «Сердца к сердцу» 

До мероприятия осталось менее суток, и это отличный повод написать друзьям и пригласить их на благотворительный фестиваль. А тем, кто не сможет прийти, но хочет помочь детям-сиротам, можно сделать пожертвование по ссылке. Даже небольшая сумма может сделать этот мир лучше.

«Приходите всей семьей: с родителями, бабушками, дедушками и детьми. На фестивале найдется что-то интересное для всех возрастов: спортивные активности, творческие конкурсы, музыкальные программы, и вы получите заряд положительных эмоций», — отметил ректор МИФИ Владимир Шевченко.

📍Ждём вас с 11.00 до 18.00 в парк «Коломенское»

Пожертвование можно сделать по ссылке: 
https://a-dobra.ru/how-to-help/help_now/?utm_source=referal&utm_medium=mifi&utm_campaign=ot-serdtca-k-serdtcu#donate"
30030,Sat Sep 21 11:20:42 2024,28473,"📺 Не пропустите увлекательную передачу «100 к 1» с участием нашей команды молодых ученых из МИФИ! 

🙋Сегодня мы узнаем, получится ли у ребят преодолеть все испытания и побороться за главный приз! Поддержим наших талантливых МИФИстов! 💪🏆

🌐 Ссылка на трансляцию ниже 🔥✨

https://smotrim.ru/brand/9222"
30031,Fri Sep 20 18:10:41 2024,28469,"📹 Я в МИФИ, тут светят экраны, 
В институте ИИКС — мы словно титаны. 
Нейронки летят, не тормози поток, 
Наши знания — это ключ, а не блок. 
 
🎶Это строчки из песни, созданной Искусственным интеллектом. По словам преподавателя Романа Душкина, вдохновение для композиции пришло после фразы студента, который воскликнул на паре: «У нас есть реактор, и это главный фактор!». 
 
🎶Конечно, за работой нейросети нужно следить, поэтому куплеты переписывались, а аранжировка прошла несколько этапов отбора. В результате получилась полноценная песня про МИФИ.Переходите по ссылке ниже, слушайте трек и пишите в комментариях, как вам ⬇"
30032,Fri Sep 20 17:31:00 2024,28468,"🚘МИФИ представит разработки в области беспилотного транспорта и БПЛА на форуме «Микроэлектроника 2024» 
 
Теперь беспилотный транспорт станет безопаснее и удобнее. МИФИ в сотрудничестве с коллегами из АО «Русатом РДС» создали телематическую платформу, которая будет передавать автомобилю информацию об ограничениях скорости, перекрестках, ремонтных работах и многом другом. 
 
📲Еще одна инновация, которая точно понравится гостям форума – внедрение технологий связи нового поколения 5G+ NTN. Эта разработка позволит оставаться на связи даже в труднодоступных местах.

Подробнее: https://mephi.ru/press/news/23402"
30033,Fri Sep 20 16:04:18 2024,28466,"🧐Почему идеальным исследовательским образцом является советская атомная отрасль? 
 
На этот и другие вопросы отвечали исследователи на международной научной конференции «1954: первый год новой эры», организованной МИФИ и МВШСЭН. 
 
💪47 исследователей из разных городов России, а также историки из Германии, Белоруссии и Индии, приняли участие в обсуждении. Подробнее читайте на сайте по ссылке ниже
https://mephi.ru/press/news/23399"
30034,Fri Sep 20 14:31:16 2024,28464,
30035,Fri Sep 20 13:02:52 2024,28463,"🍁Как провести последние теплые деньки сентября? Конечно, вместе с МИФИ! Мы подготовили дайджест событий, где каждый найдет занятие по душе 
 
🔸Проектная деятельность от СНО МИФИ 
📍До 28 сентября необходимо выбрать 2 приоритетные темы проектов 
Подробнее https://mephi.ru/press/announcements/23387
 
🔸Запуск второго цикла Акселератора социальных проектов МИФИ 
📍Подать заявку можно до 30 сентября 
Подробнее https://mephi.ru/press/announcements/23394
 
🔸Благотворительный Фестиваль «От сердца к сердцу» 
📍22 сентября в музее-заповеднике «Коломенское» 
Подробнее https://mephi.ru/press/news/23324
 
🔸Продолжается прием заявок на участие в конкурсе «Студент года молодежной столицы» 
📍Подать заявку можно до 23 сентября 
Подробнее https://t.me/nust_misis/25193
 
🔸Первое масштабное событие для всех любителей фотографии – Фото-фест в МИФИ 
📍21 сентября в 11.00 в читальном зале библиотеки состоится мероприятие 
Подробнее https://t.me/nuclearmephi/733
 
🔸День физики в МИФИ 
📍22 сентября в 12.00 на территории МИФИ состоится научный праздник для школьников, будущих абитуриентов МИФИ и всех желающих 
Подробнее https://mephi.ru/press/announcements/23381

🔸Запуск третьего цикла Акселератора технологических проектов НИЯУ МИФИ
📍Подать заявку можно до 23 сентября 
Подробнее https://accelerator.mephi.ru/"
30036,Fri Sep 20 11:40:00 2024,28460,"💊МИФИсты участвуют в разработке новой методики борьбы с опухолями 

 «Если просто посветить на организм нейтронами, они почти не взаимодействуют с тканями, они просто пройдут мимо. Но если мы в опухоль добавляем бор-10, то с ним нейтроны будут взаимодействовать. Это позволит локально уничтожить опухоль», – рассказал доцент кафедры ядерной медицины, научный сотрудник лаборатории бионанофотоники Инженерно-физического института биомедицины МИФИ Антон Попов. 
 
✨Подробнее об облучении опухолей с использованием наночастиц читайте на сайте по ссылке ниже"
30037,Fri Sep 20 10:48:12 2024,28458,"💥Зарубежная стажировка в МИФИ 
 
Получить профессиональные навыки в нашем университете хотят жители из разных стран. На этой неделе на стажировку в МИФИ прилетела Рузия Келсингазин из Казахстана. 
 
💯Девушка учится на специальности «Техническая физика» в Государственном университете им. Шакарима, а также работает в Институте атомной энергии НЯЦ республики Казахстан. 
 
Что думает Рузия о первых занятиях, вы узнаете из нашего видео"
30038,Fri Sep 20 09:28:30 2024,28456,
30039,Thu Sep 19 18:45:43 2024,28452,"🎉МИФИсты попали в список самых цитируемых учёных мира 

По версии Elsevier в топ-2% самых цитируемых учёных мира 2023 года вошли: 

❤️‍🔥Николай Кудряшов 
❤️‍🔥Александр Федотов
❤️‍🔥Ольга Огородникова 

Также значительный вклад в развитие науки внесли выпускники МИФИ, которые тоже вошли в список: Станислав Кельнер, Николай Нарожный, Евгений Мешков. 

🏆Поздравляем ученых и желаем им дальнейших успехов и новых открытий!"
30040,Thu Sep 19 17:40:00 2024,28450,"🤩Завершаем обзор проектов, представленных на Международном технологическом конгрессе 
 
На стенде МИФИ посетители конгресса могли ознакомиться с комплексом для отладки отечественных микросхем. Он предназначен для тестирования и отладки софта, создаваемого для микросхем российского производства. 
 
Более подробнее о разработке можно прочитать на сайте по ссылке ниже
 https://mephi.ru/press/news/23398"
30041,Thu Sep 19 16:05:00 2024,28449,"Зачем вступать в Лигу амбассадоров? 
 
➡ Рассказывает Александр Кожиев, аспирант ФБИУКС, амбассадор МИФИ. 
 
Подробнее о Лиге амбассадоров МИФИ по ссылке ниже👍

https://ambassador.mephi.ru/"
30042,Thu Sep 19 15:35:27 2024,28447,"😇Сегодня начинает работу Инженерный кружок Engi-Teams

В течение года все желающие смогут научиться работать с электроникой: собрать датчики параметров окружающей среды, приёмники, фонари, средства связи и различные радиоуправляемые модели. 
 
🙌Курс разработали и будут читать Андрей Уденеев, научный сотрудник Лаборатории научных исследований ФНКЦ МРиК ФМБА России, аспирант ИФИБ МИФИ вместе с Аллой Некрасовой из РЭУ им. Г. В. Плеханова. 
 
📍Когда: каждый четверг с 19:00 до 20:30 в НЛК 4.86"
30043,Thu Sep 19 14:55:00 2024,28444,"📡Еще один проект МИФИ на Международном технологическом конгрессе привлек внимание всех СМИ 
 
Это спутник, который позволяет регистрировать последствия природных катастроф. Несколько двигателей, показанных на видео, прямо сейчас находятся на орбите Земли. 
 
🛰Подробнее о спутнике рассказала сотрудница МИФИ Юлиана Королева"
30044,Thu Sep 19 14:03:24 2024,28438,"❣Прямо сейчас на территории МИФИ проходит мини-акция от фестиваля «От сердца к сердцу» 
 
Любой желающий может сделать пожертвование и получить сладкий приз, а также поучаствовать в мастер-классе по созданию розы. 
 
📍Где: центральный вход корпуса Г 
Подробнее по ссылке ниже"
